GeneID	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	PD_1	PD_2	PD_3	PD_4	PD_5	PD_6	PD_7	PD_8
DCLK3	0	0	3.470261154	0	2.512783526	0	7.02363817	13.60262024	0	0	4.034189156	4.565696186	0	0
DCLRE1A	1.699348924	11.53203764	0	4.208789318	18.42707919	0	0	18.13682698	10.6006902	0	0.930966728	8.479150059	0	2.238810626
DCLRE1B	0	3.145101176	0.867565288	0	0	0	6.243233929	0	2.650172551	0	0.930966728	0	0	0
DCLRE1C	9.063194261	24.11244235	0	13.32783284	0	9.94297072	0	0	0	0	5.585800369	15.65381549	13.43394021	0
DCN	11.32899283	22.01570823	32.09991567	9.820508408	13.40151214	15.90875315	19.51010603	24.9381371	47.70310592	56.09112703	22.03287924	27.39417711	34.77019819	51.49264441
DCP1A	26.0566835	16.77387294	45.113395	17.53662216	21.77745723	43.74907117	2.341212723	11.33551687	26.50172551	30.75965031	12.72321195	13.04484624	11.06324488	15.67167439
DCP2	28.03925725	24.11244235	47.71609087	54.71426113	37.6917529	73.57798333	56.9695096	34.0065506	5.300345102	18.09391195	29.7909353	44.35247723	60.05761506	23.50751158
DCPS	4.814821951	0	2.602695865	0	13.40151214	0	3.902021206	0	31.80207061	7.237564779	5.896122612	0	7.112085994	4.477621253
DCT	0	0	2.602695865	2.805859545	0	0	0	0	0	0	1.861933456	2.608969249	0	0
DCTD	16.4270396	5.241835293	10.41078346	5.611719091	10.88872861	0	0	0	29.15189806	3.618782389	7.137411583	11.74036162	11.06324488	0
DCTN1	63.72558465	58.70855528	48.58365615	54.71426113	92.13539597	87.49814234	60.87153081	34.0065506	98.05638439	59.70990942	42.51414726	52.17938498	30.02880753	31.34334877
DCTN1-AS1	1.132899283	4.193468234	10.41078346	7.71611375	0	0	0	0	0	0	0.930966728	0.652242312	0	0
DCTN2	37.38567633	39.83794823	12.14591404	32.96884966	24.29024076	31.8175063	26.5337442	45.34206746	26.50172551	23.52208553	38.4799581	25.43745018	35.56042997	6.716431879
DCTN3	3.115473027	7.33856941	2.602695865	12.62636795	0	0	3.121616965	0	0	0	4.965155884	1.304484624	2.370695331	0
DCTN4	61.17656126	49.27325175	26.02695865	65.93769931	30.99099683	39.77188288	51.50667992	68.01310119	18.55120786	57.90051823	43.75543623	43.70023492	42.67251596	88.43301975
DCTN5	68.82363142	38.78958117	35.57017683	49.10254204	41.87972544	5.965782432	28.87495692	63.47889444	10.6006902	30.75965031	51.82381454	42.3957503	27.6581122	12.31345845
DCTN6	0	0	7.808087596	14.02929773	3.350378035	17.8973473	10.92565938	0	0	7.237564779	3.41354467	6.522423122	18.17533087	1.119405313
DCTPP1	0	0	1.735130577	0	3.350378035	0	3.902021206	9.068413492	18.55120786	0	1.241288971	0	3.951158886	0
DCUN1D1	8.49674462	30.4026447	63.33226606	62.43037488	25.12783526	41.76047702	56.18910536	13.60262024	39.75258827	0	29.48061306	14.34933087	30.02880753	23.50751158
DCUN1D2	11.04576801	24.11244235	6.072957019	16.13369239	0	7.954376576	25.75333996	0	0	0	14.27482317	24.78520787	20.54602621	0
DCUN1D3	8.213519799	13.62877176	14.7486099	21.74541148	5.025567053	0	0	38.54075734	2.650172551	0	7.758056069	9.131392371	8.692549548	12.31345845
DCUN1D4	49.84756844	40.88631529	36.43774212	29.46152523	29.31580781	23.86312973	28.09455268	88.41703155	90.10586674	14.47512956	38.79028034	60.65853504	43.46274774	10.07464782
DCUN1D5	24.35733458	20.96734117	29.49721981	40.68496341	32.66618584	13.92015901	38.23980782	0	0	10.85634717	15.20578989	20.21951168	21.33625798	11.19405313
DCX	3.965147489	11.53203764	8.675652885	2.805859545	7.538350579	17.8973473	14.04727634	0	15.90103531	0	7.137411583	15.00157318	11.06324488	5.597026566
DCXR	20.10896227	3.145101176	0	14.02929773	21.77745723	1.988594144	6.243233929	0	34.45224316	0	11.79224522	6.522423122	0	0
